ReaderGroup,Reader
Conf- Hess All,162HsGETun
Conf- Hess All,164 HesGIL
Conf- Hess All,165 Hs1Lob
Conf- Hess All,166 Hes1IR
Conf- Hess All,167 Hes1IL
Conf- Hess All,168 Hs2Lob
Conf- Hess All,169 Hes1IL
Conf- Hess All,170 Hs3Lob
Conf- Hess All,171 Hs3IL
Conf- Hess All,172 GrElev
Conf- Hess All,173GLElev
Conf- Hess All,174 HesGI
Conf- Hess All,176 GrGER
Conf- Hess All,179 Gr1EF
Conf- Hess All,180Gr1Lob2
Conf- Hess All,190Gr1Lob1
Conf- Hess All,199GrRElev
Conf- Hess Computer Lab,163HesComp
Conf- Hess Entrance,160 HesGER
Conf- Hess Entrance,161 HesGEL
Conf- Hess Entrance,162HsGETun
Conf- Hess Entrance,172 GrElev
Conf- Hess Entrance,173GLElev
Conf- Hess Entrance,176 GrGER
Conf- Hess Entrance,179 Gr1EF
Conf- Hess Entrance,180Gr1Lob2
Conf- Hess Entrance,190Gr1Lob1
Conf- Hess Entrance,199GrRElev
Conf- Hess Gnd Hall,164 HesGIL
Conf- Hess Gnd Hall,174 HesGI
Conf- Kelly,211 KelAF
Conf- Kelly,212 KelAB
Conf- Kelly,213 Kel BF
Conf- Kelly,214 Kel BB
Conf- Kelly,215 Kel CF
Conf- Kelly,216 Kel CB
Conf- Kelly,217 KelCFG
Conf- Mellinger,222 Mel AF
Conf- Mellinger,223 Mel AB
Conf- Mellinger,224 MelAFG
Conf- Mellinger,225 Mel BF
Conf- Mellinger,226 Mel BB
Conf- Mellinger,227 Mel CF
Conf- Mellinger,228 Mel CB
Conf- Miller 1st Hall,192 Mil1BS
Conf- Miller 1st Hall,193Mil1Lob
Conf- Miller 2nd Hall,194 Mil2BS
Conf- Miller 2nd Hall,195Mil2Lob
Conf- Miller 3rd Hall,196 Mil3BS
Conf- Miller 3rd Hall,198Mil3Lob
Conf- Miller All,172 GrElev
Conf- Miller All,173GLElev
Conf- Miller All,176 GrGER
Conf- Miller All,179 Gr1EF
Conf- Miller All,180Gr1Lob2
Conf- Miller All,188MilGBS
Conf- Miller All,189MilGLob
Conf- Miller All,190Gr1Lob1
Conf- Miller All,191 MilGER
Conf- Miller All,192 Mil1BS
Conf- Miller All,193Mil1Lob
Conf- Miller All,194 Mil2BS
Conf- Miller All,195Mil2Lob
Conf- Miller All,196 Mil3BS
Conf- Miller All,198Mil3Lob
Conf- Miller All,199GrRElev
Conf- Miller Entrance,172 GrElev
Conf- Miller Entrance,173GLElev
Conf- Miller Entrance,176 GrGER
Conf- Miller Entrance,179 Gr1EF
Conf- Miller Entrance,180Gr1Lob2
Conf- Miller Entrance,190Gr1Lob1
Conf- Miller Entrance,191 MilGER
Conf- Miller Entrance,199GrRElev
Conf- Miller Gnd Hall,188MilGBS
Conf- Miller Gnd Hall,189MilGLob
Conf- Mt.View 1st Hall,518MV1Lob
Conf- Mt.View 1st Hall,519MV1RI
Conf- Mt.View 2nd Hall,522 MV2RS
Conf- Mt.View 2nd Hall,523 MV2Lob
Conf- Mt.View 3rd Hall,524 MV3RS
Conf- Mt.View 3rd Hall,525 MV3Lob
Conf- Mt.View 4th Hall,526 MV4Lob
Conf- Mt.View 4th Hall,527 MV4RS
Conf- Mt.View All,510 MVB
Conf- Mt.View All,511 MVGE
Conf- Mt.View All,512 MVGES
Conf- Mt.View All,513 MVGLob
Conf- Mt.View All,514 MVGIS
Conf- Mt.View All,516MVGDeck
Conf- Mt.View All,517MVGPat
Conf- Mt.View All,518MV1Lob
Conf- Mt.View All,519MV1RI
Conf- Mt.View All,520MV1ER
Conf- Mt.View All,521MV1MLob
Conf- Mt.View All,522 MV2RS
Conf- Mt.View All,523 MV2Lob
Conf- Mt.View All,524 MV3RS
Conf- Mt.View All,525 MV3Lob
Conf- Mt.View All,526 MV4Lob
Conf- Mt.View All,527 MV4RS
Conf- Mt.View Entrance,511 MVGE
Conf- Mt.View Entrance,512 MVGES
Conf- Mt.View Entrance,516MVGDeck
Conf- Mt.View Entrance,517MVGPat
Conf- Mt.View Entrance,520MV1ER
Conf- Mt.View Entrance,521MV1MLob
Conf- Mt.View Gnd Hall,513 MVGLob
Conf- Mt.View Gnd Hall,514 MVGIS
Conf- Naugle A 1st Hall,129 Na1AL
Conf- Naugle A 1st Hall,135 Na1ASt
Conf- Naugle A 1st Hall,136 Na1CSA
Conf- Naugle A 2nd Hall,137 Na2ASt
Conf- Naugle A 2nd Hall,138 Na2ACS
Conf- Naugle A 3rd Hall,139 Na3ASt
Conf- Naugle A 3rd Hall,140 Na3ACS
Conf- Naugle A Gnd Hall,134 NaGACS
Conf- Naugle A Gnd Hall,149 NaGAI
Conf- Naugle All,129 Na1AL
Conf- Naugle All,130 NaG AE
Conf- Naugle All,131 Na1 EB
Conf- Naugle All,132 Na1Lob
Conf- Naugle All,134 NaGACS
Conf- Naugle All,135 Na1ASt
Conf- Naugle All,136 Na1CSA
Conf- Naugle All,137 Na2ASt
Conf- Naugle All,138 Na2ACS
Conf- Naugle All,139 Na3ASt
Conf- Naugle All,140 Na3ACS
Conf- Naugle All,141 NaGBCS
Conf- Naugle All,142 NaGBSt
Conf- Naugle All,143 Na1BCS
Conf- Naugle All,144 Na1BSt
Conf- Naugle All,145 Na2BSt
Conf- Naugle All,146 Na2BCS
Conf- Naugle All,147 NA3BSt
Conf- Naugle All,148 Na3BCS
Conf- Naugle All,149 NaGAI
Conf- Naugle B 1st Hall,130 NaG AE
Conf- Naugle B 1st Hall,131 Na1 EB
Conf- Naugle B 1st Hall,132 Na1Lob
Conf- Naugle B 1st Hall,143 Na1BCS
Conf- Naugle B 1st Hall,144 Na1BSt
Conf- Naugle B 2nd Hall,130 NaG AE
Conf- Naugle B 2nd Hall,131 Na1 EB
Conf- Naugle B 2nd Hall,132 Na1Lob
Conf- Naugle B 2nd Hall,145 Na2BSt
Conf- Naugle B 2nd Hall,146 Na2BCS
Conf- Naugle B 3rd Hall,147 NA3BSt
Conf- Naugle B 3rd Hall,148 Na3BCS
Conf- Naugle B Gnd Hall,141 NaGBCS
Conf- Naugle B Gnd Hall,142 NaGBSt
Conf- Naugle Entrance,130 NaG AE
Conf- Naugle Entrance,131 Na1 EB
Conf- Naugle Entrance,132 Na1Lob
Conf- Naugle Entrance A,130 NaG AE
